wb,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
308,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,2.0,
309,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,,,0.0,,,2.0,,,,2.0,,1.0,,,2.0,,,2.0,
310,,,,,,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,,,,2.0,,,0.0,,,0.0,,,,,,1.0,,,,,1.0
311,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,0.0,,,,1.0,,,,,,0.0,,,,
312,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,1.0,,,2.0,,,2.0,,,
315,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,,,,1.0,,,2.0,,
316,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,,,4.0,,,,,,,,,
317,,,,,,,,,,,,3.0,,,,,,,0.0,,,1.0,,,,,1.0,,,4.0,,,1.0,,,
318,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,1.0,,
319,,,,,1.0,3.0,,,,,,,,2.0,,,0.0,,,1.0,,,2.0,,,,3.0,,1.0,,,1.0,,,4.0,
320,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,
321,,,,,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0
322,,,,,,,,,,,2.0,,,,,2.0,,0.0,,,0.0,,,3.0,,,2.0,,,1.0,,,,,,2.0
323,2.0,,,,,,,,,,,1.0,,,,,,3.0,2.0,,2.0,,,1.0,,,,2.0,,0.0,,,,,,
325,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,3.0,,,,,,3.0,,,2.0
327,,,,,,,,,,,,3.0,,,,,,,,2.0,,,,1.0,,,,1.0,,,2.0,,,2.0,,
328,,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,,,,,,,4.0,,,,,,,,,3.0,,,,,,,4.0,,,
