wb,ov_typ,distr_id,til_oko_fy,Shape_Length,length
400,LWTYPE9,DK1,Ringe økologisk tilstand,14318.380156243084,14.318380156243084
401,LWTYPE10,DK1,God økologisk tilstand,1001.6550072351331,1.0016550072351331
402,LWTYPE11,DK1,Dårlig økologisk tilstand,16910.613641955635,16.910613641955635
403,LWTYPE15,DK1,Dårlig økologisk tilstand,3910.3564908563535,3.9103564908563535
404,LWTYPE9,DK1,Dårlig økologisk tilstand,2489.4787304288634,2.4894787304288633
405,LWTYPE13,DK1,Moderat økologisk tilstand,4205.088162531123,4.205088162531123
406,LWTYPE13,DK1,Dårlig økologisk tilstand,26670.143545204788,26.670143545204787
407,LWTYPE5,DK1,Moderat økologisk tilstand,1401.0715589952254,1.4010715589952254
408,LWTYPE12,DK1,Moderat økologisk tilstand,2206.07021922035,2.20607021922035
409,LWTYPE13,DK1,Ringe økologisk tilstand,2178.8494666386805,2.1788494666386806
411,LWTYPE11,DK1,Ringe økologisk tilstand,2909.053967511538,2.9090539675115377
412,LWTYPE11,DK1,Dårlig økologisk tilstand,15866.527496685641,15.866527496685642
413,LWTYPE11,DK1,Ringe økologisk tilstand,12126.359600384078,12.126359600384077
414,LWTYPE10,DK1,Høj økologisk tilstand,1227.2173018977614,1.2272173018977615
416,LWTYPE13,DK1,Dårlig økologisk tilstand,1902.9387573967476,1.9029387573967476
417,LWTYPE5,DK1,Ringe økologisk tilstand,2483.9900322501267,2.4839900322501265
418,LWTYPE9,DK1,Ringe økologisk tilstand,2137.640423736177,2.137640423736177
419,LWTYPE11,DK1,Ringe økologisk tilstand,2635.4051940967456,2.635405194096746
420,LWTYPE9,DK1,God økologisk tilstand,1536.0328672591504,1.5360328672591503
421,LWTYPE5,DK1,Ukendt,743.8199390736934,0.7438199390736934
422,LWTYPE13,DK1,Dårlig økologisk tilstand,1137.6441147416824,1.1376441147416825
423,LWTYPE9,DK1,Ringe økologisk tilstand,2318.339623536618,2.3183396235366183
424,LWTYPE13,DK1,Høj økologisk tilstand,2402.4150427645122,2.4024150427645123
425,LWTYPE9,DK1,Høj økologisk tilstand,3007.801852587721,3.007801852587721
426,LWTYPE5,DK1,Ringe økologisk tilstand,544.6693779395648,0.5446693779395648
427,LWTYPE5,DK1,Ukendt,505.68844737300566,0.5056884473730057
428,LWTYPE9,DK1,Ringe økologisk tilstand,3164.23567823533,3.16423567823533
429,LWTYPE9,DK1,Høj økologisk tilstand,8599.134795360329,8.59913479536033
430,LWTYPE9,DK1,God økologisk tilstand,9300.779119322866,9.300779119322867
431,LWTYPE5,DK1,Ukendt,706.5335665001554,0.7065335665001554
432,LWTYPE11,DK1,God økologisk tilstand,8682.31458532656,8.68231458532656
