ObservationsstedNr,X_UTM32,Y_UTM32
9000247,495998,6319694
9000248,494467,6321322
9000249,488731,6319248
9000250,470037,6285525
9000251,470144,6283979
9000252,494406,6318013
9000253,507910,6176686
9000254,507910,6176686
9000255,479619,6324708
9000256,507910,6176686
9000257,507910,6176686
9000258,507910,6176686
9000259,507910,6176686
9000260,507910,6176686
9000261,507910,6176686
9000262,507910,6176686
9000263,507910,6176686
9000264,507910,6176686
9000265,507910,6176686
9000266,507910,6176686
9000267,507910,6176686
9000268,507910,6176686
9000269,507910,6176686
9000270,507910,6176686
9000271,507696,6323273
9000272,507910,6176686
9000273,507910,6176686
9000274,512888,6318491
9000275,507910,6176686
9000276,493119,6328662
9000277,512303,6318092
9000278,512303,6318092
9000279,517096,6320525
9000280,517096,6320525
9000281,492651,6325883
9000282,492651,6325883
9000283,475312,6310463
9000284,475312,6310463
9000285,547053,6329438
9000286,512913,6323214
9000287,490707,6322265
9000288,507910,6176686
9000289,503157,6327011
9000290,453976,6290370
9000291,503157,6327011
9000558,503655,6325749
9000559,503655,6325749
9000560,507910,6176686
9000561,507910,6176686
9000562,468313,6277078
9000563,468313,6277078
9000798,537426,6324995
9000804,464920,6280910
9000805,507910,6176686
9000806,464889,6280839
9000807,507910,6176686
9000808,464675,6281071
9000809,507910,6176686
9000810,464589,6280735
9000811,507910,6176686
9000812,464476,6280793
9000813,507910,6176686
9000817,492325,6318164
9000818,467189,6285712
9000819,538585,6325095
9000820,507910,6176686
9000821,493018,6319702
9000822,493018,6319702
9000823,534489,6329541
9000824,534489,6329541
9000825,539480,6325515
9000826,538585,6325095
9000827,502651,6320077
9000828,502651,6320077
9000838,479254,6324775
9000839,479166,6324710
9000840,479224,6324642
9000841,512913,6323214
9000842,499797,6323020
9000843,499797,6323020
9000844,537702,6327425
9000845,537702,6327425
9000846,543610,6324776
9000847,543610,6324776
9000848,528042,6322085
9000849,528941,6322409
9000850,544696,6324932
9000851,544696,6324932
9000852,546020,6325937
9000853,546020,6325937
9000854,546157,6326066
9000855,546157,6326066
9000856,541622,6327849
9000857,541622,6327849
9000858,537426,6324995
9000859,537426,6324995
9000860,530191,6322214
9000861,530191,6322214
9000862,540102,6326212
9000863,540102,6326212
9000864,541599,6327844
9000865,541599,6327844
9000866,537332,6323411
9000867,537332,6323411
9000868,525996,6321720
9000869,525996,6321720
9000870,529126,6322514
9000871,529126,6322514
9000872,529072,6322428
9000873,529072,6322428
